Category,Message
1," / / www . retdehola . com / ss /  the biggest shortage of all is the shortage of common sense .  you can tell the ideals of a nation by its advertisements .  virtue has its own reward , but no box office .  the great aim of education is not knowledge but action .  beware of the young doctor and the old barber ."
1,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
0,"  the research group will have 5 rice students , who are working on an  enron project for their doctorate , coming to enron for approximately  1 week . they will be sitting in a conference room located on the 19 th  floor research area .  we need to get them internet access ( to be applied to one computer ) , with  one logon id and password .  will you please let me know what i need to do to get this accomplished ?  they will be coming this thursday , april 5 th .  thanks !  shirley crenshaw"
1, 1  soft viagra at $ 1 . 62 per dose  ready to boost your sex life ? positive ?  time to do it right now !  order soft viagra at incredibly low prices  starting at $ 1 . 99 per dose ! unbeiivabie !
0," var article  les ,  the revised version of the var article looks fine .  vince"
0," chief technology officer  jeff , louise and philippe , along with greg whalley , will comprise the office  of the chairman for enron net works .  with jeff shankman  , s departure from enron north america  , s natural gas  operation , all of jeff  , s direct reports will report to john lavorato .  we are also pleased to announce the following changes to the enron north  america office of the chairman . john lavorato will join the ena office of  the chairman as chief operating officer . dave delainey will assume the role  of president and chief executive officer . mark frevert will retain his role  as chairman of enron north america in addition to his role as chairman of  both enron global markets and enron europe .  please join us in congratulating everyone in their new assignments and in  supporting the new enron global markets organisation ."
1," wish i ' dd tried sooner  how to save on your supper medlcations over 70 % .  redundance pharmshop - successfull and mutilation proven way to save your mon confessedly ey .  atonement v  seiche ag  statical al  jobmaster lu  cultured l  r metasomatism a hectare cl  coldhardening isva afflatus l  pressure m  andmanyother .  best p underbuy rlces .  worldwide shlpplng woodengraver .  easy infestation order form .  total con arcuate fidentiaiity .  2 versification 50 , 000 satisfied customers .  order flounder today and save !"
1,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
0," retail banking , corporate  > banking , treasury , trading and sales , and real estate financing and asset  > management . it has approximately 300 branches with international offices  > in new york , hong kong , and london . as austrian banks consolidate , erste  > bank is increasing its presence in eastern europe . it has subsidiaries in  > croatia and hungary and acquired 52 % of the shares in ceska sporitelna ,  > the second largest bank in the czech republic from the czech government .  > one of erste bank ' s largest shareholders is savings foundation  > anteilsverwaltung sparkasse .  >  >  >  >  >"
1, save your money buy getting this thing here  you have not tried cialls yet ?  than you cannot even imagine what it is like to be a real man in bed !  the thing is that a great errrectlon is provided for you exactly when you want .  ciails has a iot of advantaqes over viaqra  - the effect lasts 36 hours !  - you are ready to start within just 10 minutes !  - you can mix it with alcohol ! we ship to any country !  get it riqht now ! . 
1,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
1, claim your free home depot gift card - a $ 1000 value .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  bxjqlhgh
1," amazingg  hello , welcome to ph unavoidable armonline sh breakneck op  - one of the l handful eading oniine pharmaceutical shops  bondman v  distinct g  a interrupter l  l herbalist l  distributary la  ensoul rac plagiary l  i stress s alkalimetry va  dislodge um  andmanyother .  - save over 5 malarial 0 %  - worldwide shlp impetuous plng  - total confidentia televiewer iity  - over locksman 5 miiiion customers in 130 countries  have a furnished nice day !"
1," save your money by getting an oem software !  need in software for your pc ? just visit our site , we might have what you need . . .  best regards ,  fallon "
0,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
1, / / www nightly . registeouse . com - successfull and proven way t seaborn o save you sememe r money .  hopelessness v  deliquescence ag  effectuation al  outspeak lu  auxiliary l  r pothole a tapestry cl  actinic isva connoisseur l  pecksniff m  andmanyother .  best prlc ponderosity es .  high confluent quaiity .  worldwide shlpplng desire .  to stupidity tal confidentiaiity .  250 . 000 + satisfied cust flexile omers .  have a nice d nodulated ay !
0," li sun  i ' ve asked vince to get involved with you about getting li into vince ' s  group . this issue needs to be resolved by week ' s end - - we look like we don ' t  have our act together , and that bothers me . especially since we are about to  make a significant monetary investment at wharton , and we could have a new  wharton recruit disgruntled .  vince , can you set up a meeting with you , me and mark palmer to follow up  with our meeting with skilling ? thanks very much . . .  jeff"
0,Hey come online! Use msn... We are all there
0,Where to get those?
1,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
1,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
1," info @ thaihotel 4 u . com , antilbkk @ yahoo . com  dear sir / madam ,  this is the warmest greeting from antil co . , ltd . , one of the major tour companies in thailand . we are dedicated to promote thai ' s biggest industry - tourism .  it is our great pleasure to inform you the grand opening of our hotel reservation web site www . thaihotel 4 u . com . we would like to invite you to visit our web site that contains hundreds of hotels ' information . rarely do we have the opportunity to also inform you such an attractive pricing of all hotel bookings on this web site .  working with other agents around the world has been our powerful support for both our growth and our partners ' for a long time . now we are proudly inviting you to be the partner of www . thaihotel 4 u . com and consider our possible cooperation in group bookings . if you are interested in being our local sales in your area , you are also welcome to contact us at info @ thaihotel 4 u . com for further discussion .  we appreciate your kind attention !  yours sincerely ,  rudet khamchan  managing director"
0," mutually agreed upon changes okay  hi rakesh ,  thanks for your work on the non - disclosure agreement .  your integration of our mutually agreed upon modifications looks good ,  rakesh . thanks ! i ' ll await your next version .  larry"
0," slides for jeff ' s presentation  all requested slides and updates , including raw data and calculations , are in  the spreadsheet below  volatility calculations are up to december 8 , 2000 .  - hector"
0,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke
0,But that's on ebay it might be less elsewhere.
1," reduce cellulite . proven alternative to cosmetic surgery ! gpndq  take advantage of our no cost trial ! you ' ve got nothing to loose except the dangers of trying to achieve the same results with botox that you can get safely with bodyshape from hydroderm ! ( )  to unsubscribe from future body shape offers , please click  hereadv body shape . 11240 playa court . culver city . ca .  90230  lvswinjqgxlx"
1, i don ' t work . . . but i have a ton of money !  iqccjypkiducrbiixmqcuncw
0,I'll be late...
0," listo 319  isranir @ rice . edu , demianen @ rice . edu , tbal 93 @ yahoo . com , maue @ rice . edu ,  loughrid @ rice . edu , jblantonjr @ yahoo . com , gjohnson @ rice . edu ,  emchombo @ rice . edu , nazareth @ rice . edu , vanstone @ rice . edu , ganguzza @ rice . edu ,  nelsonb @ rice . edu , sssmith @ rice . edu , wheelock @ rice . edu , westmore @ rice . edu ,  gaudette @ rice . edu , otaylor @ rice . edu , dikeman @ rice . edu , jettke @ rice . edu ,  litton @ rice . edu , chilkina @ rice . edu , helms @ rice . edu , wankhade @ rice . edu ,  monfan @ rice . edu , kostya @ rice . edu , pcp @ rice . edu , yueguo @ rice . edu ,  nlwbio @ rice . edu , zhangn @ rice . edu , rishad @ rice . edu , yoshiura @ rice . edu ,  howard @ rice . edu , dayangd @ rice . edu , wuwei @ rice . edu , so @ rice . edu ,  wooddy @ rice . edu , lamas @ rice . edu , tbalestrery @ houston . rr . com ,  hingoran @ rice . edu ,  planck @ rice . edu"
0,Dun need to use dial up juz open da browser n surf...
0," 25 am > > >  an associate of mine from research , ronnie chahal , is working for the enron  subsidiary newpower and was wondering if pge uses weatherwise , a derivatives  provider for weather hedges among other things . ronnie is trying to get some  background on them . if any of you know whether pge uses this service , please  contact ronnie or me and let me know to whom ronnie could speak about pge ' s  experiences with weatherwise .  thanks ,  michael  - text . htm"
0,Onum ela pa. Normal than.
0,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
0,Ü dun wan to watch infernal affair?
0,Tell me whos this pls:-)
0,Eh u send wrongly lar...
0,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
0,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
1, forbye @ hotmail . com
1, / / www . deal 2002 . com / removeme . html and you will be  removed . 
0,K..i deleted my contact that why?
0," ken lay - chairman and ceo ,  jeff skilling - president and coo , and andy fastow - cfo . if you feel that  you may need to speak with additional management , we will definitely try to  work something out the same day , so you don ' t have to travel back here . i  will forward your project outline to the aforementioned participants once  the interviews are scheduled . do you anticipate drafting specific  questions ? if so , i would greatly appreciate a copy when convenient .  i greatly look forward to working with you and i hope that we can touch  base very soon .  regards ,  cindy derecskey  enron university affairs  ( 713 ) 853 - 5670"
0,It is only yesterday true true.
0,"  please arrange a payment of $ 10 , 000 to wichai as a sigining bonus as agreed  upon with him at the time of his offer .  thanks ,  krishna ."
1, claim your free $ 1000 home depot gift card .  claim your home depot gift card - a $ 1000 value . were sure you can find a use for this gift card in your area . ( ) .  by exclusiverewards  dbdbkewi
0,Am i that much dirty fellow?
1,"  - norton internet security pro 2005 - $ 29 . 95  - windows xp professionai with sp 2 fuil version - $ 59 . 95  - corel draw graphics suite 12 - $ 49 . 95  - dreamweaver mx 2004 ( homesite 5 . 5 including ) - $ 39 . 95  - macromedia studio mx 2004 - $ 119 . 95  just browse our site and find any software you need in your native ianquage !  best reqards ,  fredericka "
1, trusted savings on prescription drugs .  now you can diversify the acts in your bedroom !  the foundation of every state is the education of its youth .  everybody hates me because i ' m so universally liked .  silent gratitude isn ' t much use to anyone .
0," "" vacation "" under the  "" entitlement "" column .  enron policy states that employees are entitled to a maximum of 40 hours of  vacation carryover without supervisor approval . hours in excess of 40 hours  are subject to supervisor approval and will be updated once supervisor  approval has been received  if you have questions regarding your vacation , please call the payroll  hotline at 713 . 345 . 5555 ."
0,Hai priya are you right. What doctor said pa. Where are you.
0," london research  the enron europe research group has experienced rapid growth over the last  year as it has become clear that there are tremendous opportunities to  utilize their unique quantitative skills in supporting both new and ongoing  business efforts in the london offices . because of this , we are appointing a  group leader with the view to leveraging the group better across the many  business areas in enron europe which are benefiting from research support .  effective immediately , steven leppard will take responsibility for  spearheading research efforts in london and managing the london based  research team . steve joined enron in early 1999 and has distinguished  himself through his many contributions including analysis of the "" supergoal ""  scheduling system and development of a diagrammatic approach for real options  analysis . he holds a phd . in mathematical physics from kings college london  and an honours degree in mathematics from imperial college . steve is also a  black - belt level instructor in kungfu .  please join us in congratulating steve on his new responsibilities ."
1," 6 . 25 30 yr fixed home loan , no points flu  dear  homeowner ,  * 6 . 25 %  30 yr fixed rate mortgage  interest  rates are at their lowest point in 40 years ! we help you find the  best rate for your situation by matching your needs with hundreds  of lenders ! home improvement , refinance , second  mortgage , home equity loans , and more ! even with less  than perfect credit !  click here for a free quote !  lock  in your low fixed rate today  ano  points  ano  cost out of pocket  ano  upfront fees  ano  obligation  afree  consultation  aall  credit grades accepted  6 . 25 % won ' t stay this low forever !  click for your free quote , now !  h  apply  now and one of our lending partners will get back to you within  48 hours .  click here !  to be removed please clicking  here . "
1, start shopping at costco today with a complimentary gold membership . ( area )  start shopping at costco today with a free gold membership . we ' re giving away gold memberships in your area now .  ngpwmhmx
0,Teach me apps da. When you come to college.
0,I'm coming home 4 dinner.
1, based on 162182 reviews . write a review .
0,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
1, / / degradedly . com / rr . php
1," perfect logo charset = koi 8 - r "" >  thinking of breathing new life into your business ?  start from revamping its front - end - logo and visuai identity .  logodentity offers creative custom desiqn of loqos ,  stationery and web - sites . under our careful hand these powerful marketing toois  wiii brinq a breath of fresh air into your business  and make you stand out amonq the competitors .  you are just a ciick  away from your future success . click here to see the samples of our artwork ,  check our prices and hot offers"
1, better sex ! better relationship !  visit our pharmacy for convenient and cost - effective way of buying generic drugs .  storms make trees take deeper roots .  the smaller the mind the greater the conceit .  humor is also a way of saying something serious .  i tell you the past is a bucket of ashes .
1," hassle - free microsoft sql server remote database administration  visit us at  www . sqlcare . comor  call us at ( 214 ) 740 . 0923  to be removed , reply with remove in  the  subject line ."
0,Mm have some kanji dont eat anything heavy ok
1, 27000 / remove . html
0," storage model security  stinson ,  i have added a time bomb and security file check to the model .  we are ready to release it to brad , and improve the model from his feed back .  zimin"
1,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
0," 00 pm ) in france .  affecteusement ,  grant ."
